Number,Metric,100/200,200/200,300/200,400/200,Random Under-Sampling
1,TN,106179,117419,121533,123620,6630
2,FN,2158,3049,3476,3694,2231
3,FP,45193,33953,29839,27752,2830
4,TP,7388,6497,6070,5852,7401
5,Total,160918,160918,160918,160918,19092
6,Sensitivity,0.774,0.681,0.636,0.613,0.768
7,Specificity,0.701,0.776,0.803,0.817,0.701
8,Kappa,0.153,0.181,0.191,0.197,0.469
9,Accuracy,0.706,0.77,0.793,0.805,0.735
10,Precision,0.141,0.161,0.169,0.174,0.723
11,FPR,0.299,0.224,0.197,0.183,0.299
12,FNR,0.02,0.025,0.028,0.029,0.252
13,FOR,0.02,0.025,0.028,0.029,0.252
14,NPV,0.98,0.975,0.972,0.971,0.748
15,MCC,0.239,0.248,0.249,0.25,0.47
16,F1,0.238,0.26,0.267,0.271,0.745
17,AUC,0.812,0.811,0.81,0.81,0.811
18,Class Balance,,,,,
,Bins with TAD Boundary,44548,66822,89096,111370,31820
,Bins without TAD Boundary,44548,89096,133644,178192,31820
